,topic/subtopic_name/doc,sent_id,token_id,token,reference
0,0/0_bukavu/381790,0,0,ZAIRE,-
1,0/0_bukavu/381790,0,1,:,-
2,0/0_bukavu/381790,0,2,Zaire,-
3,0/0_bukavu/381790,0,3,says,-
4,0/0_bukavu/381790,0,4,three,-
5,0/0_bukavu/381790,0,5,rebel,-
6,0/0_bukavu/381790,0,6,towns,-
7,0/0_bukavu/381790,0,7,hit,-
8,0/0_bukavu/381790,0,8,in,-
9,0/0_bukavu/381790,0,9,air,-
10,0/0_bukavu/381790,0,10,offensive,-
11,0/0_bukavu/381790,0,11,.,-
12,0/0_bukavu/381790,1,0,Zaire,(GPEezTx9t8dVqcRow8pca5tys)
13,0/0_bukavu/381790,1,1,says,-
14,0/0_bukavu/381790,1,2,three,(GPEJN9nN4KYrj8YYs2TsgTAHJ
15,0/0_bukavu/381790,1,3,rebel,-
16,0/0_bukavu/381790,1,4,towns,GPEJN9nN4KYrj8YYs2TsgTAHJ)
17,0/0_bukavu/381790,1,5,hit,-
18,0/0_bukavu/381790,1,6,in,-
19,0/0_bukavu/381790,1,7,air,(OTHi4hhmhS6i8f3U5y2CqYqj5
20,0/0_bukavu/381790,1,8,offensive,OTHi4hhmhS6i8f3U5y2CqYqj5)
21,0/0_bukavu/381790,1,9,.,-
22,0/0_bukavu/381790,2,0,KINSHASA,-
23,0/0_bukavu/381790,2,1,1997-02-17,-
24,0/0_bukavu/381790,3,0,Zaire,(GPEezTx9t8dVqcRow8pca5tys)
25,0/0_bukavu/381790,3,1,said,-
26,0/0_bukavu/381790,3,2,on,-
27,0/0_bukavu/381790,3,3,Monday,(DATmQqodp9ghg8tSyBUUbW2zw)
28,0/0_bukavu/381790,3,4,its,(GPEezTx9t8dVqcRow8pca5tys)| (OTHmX8wdcpeFJgt6JFMzH9iGE
29,0/0_bukavu/381790,3,5,warplanes,OTHmX8wdcpeFJgt6JFMzH9iGE)
30,0/0_bukavu/381790,3,6,were,-
31,0/0_bukavu/381790,3,7,bombing,-
32,0/0_bukavu/381790,3,8,three,(GPEJN9nN4KYrj8YYs2TsgTAHJ
33,0/0_bukavu/381790,3,9,key,-
34,0/0_bukavu/381790,3,10,rebel-held,-
35,0/0_bukavu/381790,3,11,towns,-
36,0/0_bukavu/381790,3,12,in,-
37,0/0_bukavu/381790,3,13,eastern,-
38,0/0_bukavu/381790,3,14,Zaire,GPEJN9nN4KYrj8YYs2TsgTAHJ)
39,0/0_bukavu/381790,3,15,and,-
40,0/0_bukavu/381790,3,16,vowed,-
41,0/0_bukavu/381790,3,17,to,-
42,0/0_bukavu/381790,3,18,intensify,-
43,0/0_bukavu/381790,3,19,the,(OTHi4hhmhS6i8f3U5y2CqYqj5
44,0/0_bukavu/381790,3,20,air,-
45,0/0_bukavu/381790,3,21,war,OTHi4hhmhS6i8f3U5y2CqYqj5)
46,0/0_bukavu/381790,3,22,.,-
47,0/0_bukavu/381790,4,0,"""",-
48,0/0_bukavu/381790,4,1,Since,-
49,0/0_bukavu/381790,4,2,this,-
50,0/0_bukavu/381790,4,3,morning,-
51,0/0_bukavu/381790,4,4,the,(ORGJ76YEjFqiDpoZciBiQVFpZ
52,0/0_bukavu/381790,4,5,FAZ,-
53,0/0_bukavu/381790,4,6,(,-
54,0/0_bukavu/381790,4,7,Zaire,(ORGJ76YEjFqiDpoZciBiQVFpZ
55,0/0_bukavu/381790,4,8,army,ORGJ76YEjFqiDpoZciBiQVFpZ)| ORGJ76YEjFqiDpoZciBiQVFpZ)
56,0/0_bukavu/381790,4,9,),-
57,0/0_bukavu/381790,4,10,has,-
58,0/0_bukavu/381790,4,11,been,-
59,0/0_bukavu/381790,4,12,bombing,-
60,0/0_bukavu/381790,4,13,Bukavu,(GPEJN9nN4KYrj8YYs2TsgTAHJ| (GPEJN9nN4KYrj8YYs2TsgTAHJ)
61,0/0_bukavu/381790,4,14,",",-
62,0/0_bukavu/381790,4,15,Shabunda,-
63,0/0_bukavu/381790,4,16,and,-
64,0/0_bukavu/381790,4,17,Walikale,GPEJN9nN4KYrj8YYs2TsgTAHJ)| (GPEWU55pBJTrCdchBjXSiYGmA)
65,0/0_bukavu/381790,4,18,",",-
66,0/0_bukavu/381790,4,19,"""",-
67,0/0_bukavu/381790,4,20,said,-
68,0/0_bukavu/381790,4,21,a,-
69,0/0_bukavu/381790,4,22,defence,-
70,0/0_bukavu/381790,4,23,ministry,-
71,0/0_bukavu/381790,4,24,statement,-
72,0/0_bukavu/381790,4,25,in,-
73,0/0_bukavu/381790,4,26,the,-
74,0/0_bukavu/381790,4,27,capital,-
75,0/0_bukavu/381790,4,28,Kinshasa,-
76,0/0_bukavu/381790,4,29,.,-
77,0/0_bukavu/381790,5,0,A,(OTHEBuN92TgxTwLqVa2Gm5Vji
78,0/0_bukavu/381790,5,1,senior,-
79,0/0_bukavu/381790,5,2,defence,-
80,0/0_bukavu/381790,5,3,ministry,-
81,0/0_bukavu/381790,5,4,official,OTHEBuN92TgxTwLqVa2Gm5Vji)
82,0/0_bukavu/381790,5,5,said,-
